 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     3017204 | 3000001-3500000  |                    148
        3 |     3017204 | 3000001-3500000  |                    148
        3 |     3017204 | 3000001-3500000  |                    148
        3 |     3069066 | 3000001-3500000  |                    148
        3 |     3069066 | 3000001-3500000  |                    148
        3 |     3085412 | 3000001-3500000  |                    147
        3 |     3085412 | 3000001-3500000  |                    147
        3 |     3121056 | 3000001-3500000  |                    147
        3 |     3147853 | 3000001-3500000  |                    147
        3 |     3147853 | 3000001-3500000  |                    147
        3 |     3147853 | 3000001-3500000  |                    147
        3 |     3147853 | 3000001-3500000  |                    147
        3 |     3147853 | 3000001-3500000  |                    147
        3 |     3216457 | 3000001-3500000  |                    146
        3 |     3280561 | 3000001-3500000  |                    146
        3 |     3280561 | 3000001-3500000  |                    146
        3 |     3280561 | 3000001-3500000  |                    146
        3 |     3280561 | 3000001-3500000  |                    146
        3 |     3280561 | 3000001-3500000  |                    146
        3 |     3350390 | 3000001-3500000  |                    145
        3 |     3350390 | 3000001-3500000  |                    145
        3 |     3387173 | 3000001-3500000  |                    145
        3 |     3387173 | 3000001-3500000  |                    145
        3 |     3387173 | 3000001-3500000  |                    145
        3 |     3387173 | 3000001-3500000  |                    145
        3 |     3414679 | 3000001-3500000  |                    145
        3 |     3414679 | 3000001-3500000  |                    145
        3 |     3467180 | 3000001-3500000  |                    145
        3 |     3478642 | 3000001-3500000  |                    145
        3 |     3478642 | 3000001-3500000  |                    145
        3 |     3485337 | 3000001-3500000  |                    144
        3 |     3485337 | 3000001-3500000  |                    144
        3 |     3523841 | 3500001-4000000  |                    144
        3 |     3552044 | 3500001-4000000  |                    144
        3 |     3552044 | 3500001-4000000  |                    144
        3 |     3552044 | 3500001-4000000  |                    144
        3 |     3604870 | 3500001-4000000  |                    144
        3 |     3623510 | 3500001-4000000  |                    143
        3 |     3623510 | 3500001-4000000  |                    143
        3 |     3623510 | 3500001-4000000  |                    143
        3 |     3660838 | 3500001-4000000  |                    143
        3 |     3660838 | 3500001-4000000  |                    143
        3 |     3688491 | 3500001-4000000  |                    143
        3 |     3688491 | 3500001-4000000  |                    143
        3 |     3752611 | 3500001-4000000  |                    143
        3 |     3760048 | 3500001-4000000  |                    142
        3 |     3760048 | 3500001-4000000  |                    142
        3 |     3760048 | 3500001-4000000  |                    142
        3 |     3825543 | 3500001-4000000  |                    142
        3 |     3897610 | 3500001-4000000  |                    141
        3 |     3897610 | 3500001-4000000  |                    141
        3 |     3935556 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     3963137 | 3500001-4000000  |                    141
        3 |     4028301 | 4000001-4500000  |                    141
        3 |     4036372 | 4000001-4500000  |                    140
        3 |     4036372 | 4000001-4500000  |                    140
        3 |     4074952 | 4000001-4500000  |                    140
        3 |     4074952 | 4000001-4500000  |                    140
        3 |     4102631 | 4000001-4500000  |                    140
        3 |     4102631 | 4000001-4500000  |                    140
        3 |     4102631 | 4000001-4500000  |                    140
        3 |     4102631 | 4000001-4500000  |                    140
        3 |     4154576 | 4000001-4500000  |                    140
        3 |     4167344 | 4000001-4500000  |                    140
        3 |     4175839 | 4000001-4500000  |                    139
        3 |     4214421 | 4000001-4500000  |                    139
        3 |     4214421 | 4000001-4500000  |                    139
        3 |     4242041 | 4000001-4500000  |                    139
        3 |     4242041 | 4000001-4500000  |                    139
        3 |     4242041 | 4000001-4500000  |                    139
        3 |     4293924 | 4000001-4500000  |                    139
        3 |     4315669 | 4000001-4500000  |                    138
        3 |     4354482 | 4000001-4500000  |                    138
        3 |     4354482 | 4000001-4500000  |                    138
        3 |     4381610 | 4000001-4500000  |                    138
        3 |     4381610 | 4000001-4500000  |                    138
        3 |     4381610 | 4000001-4500000  |                    138
        3 |     4432357 | 4000001-4500000  |                    138
        3 |     4445198 | 4000001-4500000  |                    138
        3 |     4454659 | 4000001-4500000  |                    137
        3 |     4454659 | 4000001-4500000  |                    137
        3 |     4454659 | 4000001-4500000  |                    137
        3 |     4454659 | 4000001-4500000  |                    137
        3 |     4492880 | 4000001-4500000  |                    137
        3 |     4519672 | 4500001-5000000  |                    137
        3 |     4519672 | 4500001-5000000  |                    137
        3 |     4519672 | 4500001-5000000  |                    137
        3 |     4569479 | 4500001-5000000  |                    137
        3 |     4569479 | 4500001-5000000  |                    137
        3 |     4569479 | 4500001-5000000  |                    137
        3 |     4657828 | 4500001-5000000  |                    136
